设备IP,域名,客户端IP,端口,类型,时间
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,64454,A,2019-08-20 09:14:17
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,54955,A,2019-08-20 09:14:47
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,60529,A,2019-08-20 09:15:29
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,54727,A,2019-08-20 09:16:02
192.168.200.3,vconf.f.360.cn,192.168.200.197,63860,A,2019-08-20 09:16:08
192.168.200.3,d.skconf.f.360.cn,192.168.200.197,56362,A,2019-08-20 09:16:09
192.168.200.3,zyx.qq.com,192.168.200.197,50383,A,2019-08-20 09:16:11
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,65005,A,2019-08-20 09:16:39
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,62482,A,2019-08-20 09:17:13
192.168.200.3,tjv1.ejie.me,192.168.200.197,64818,A,2019-08-20 09:17:32
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,54097,A,2019-08-20 09:17:53
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,53033,A,2019-08-20 09:18:35
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,56411,A,2019-08-20 09:19:08
192.168.200.3,clients4.google.com,192.168.200.197,57096,A,2019-08-20 09:19:13
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,53156,A,2019-08-20 09:19:43
